exp_name,max_iterations,dist_reg_weight,elapsed_time,effective_rank,effective_rank_pct,actual_rank
Baseline,10,0.5,11.35,264.75,34.5,768
Exp-A1,20,0.5,12.683825016021729,283.1746520996094,36.87169949213664,768
Exp-A2,30,0.5,12.607898235321045,283.1746520996094,36.87169949213664,768
Exp-A3,50,0.5,13.240738868713379,283.1746520996094,36.87169949213664,768
Exp-B1,10,0.7,11.809004068374634,340.86083984375,44.38292185465495,768
Exp-B2,10,0.8,11.565114736557007,373.586669921875,48.64409764607747,768
Exp-B3,10,0.9,11.586350202560425,429.26141357421875,55.89341322580973,768
Exp-C1,30,0.7,14.921196937561035,332.29864501953125,43.268052736918136,768
Exp-C2,30,0.8,15.402747869491577,349.912841796875,45.56156794230144,768
